Data,Casos acumulados,Novos casos,Curados acumulados,Novos curados,Óbitos acumulados,Novos óbitos
25/03/20,1,1,0,0,0,0
26/03/20,1,0,0,0,0,0
27/03/20,1,0,0,0,0,0
28/03/20,1,0,0,0,0,0
29/03/20,1,0,0,0,0,0
30/03/20,1,0,0,0,0,0
31/03/20,1,0,0,0,0,0
01/04/20,1,0,0,0,0,0
02/04/20,2,1,0,0,0,0
03/04/20,2,0,0,0,0,0
04/04/20,2,0,0,0,0,0
05/04/20,2,0,0,0,0,0
06/04/20,2,0,0,0,0,0
07/04/20,2,0,0,0,0,0
08/04/20,3,1,0,0,0,0
09/04/20,5,2,0,0,0,0
10/04/20,5,0,0,0,0,0
11/04/20,5,0,0,0,0,0
12/04/20,5,0,0,0,0,0
13/04/20,5,0,2,2,0,0
14/04/20,7,2,2,0,0,0
15/04/20,7,0,2,0,0,0
16/04/20,7,0,2,0,0,0
17/04/20,7,0,4,2,0,0
18/04/20,7,0,5,1,0,0
19/04/20,7,0,5,0,0,0
20/04/20,8,1,6,1,0,0
21/04/20,8,0,6,0,0,0
22/04/20,10,2,6,0,0,0
23/04/20,11,1,6,0,0,0
24/04/20,11,0,7,1,0,0
25/04/20,11,0,7,0,0,0
26/04/20,11,0,7,0,0,0
27/04/20,11,0,7,0,0,0
28/04/20,11,0,7,0,0,0
29/04/20,12,1,8,1,0,0
30/04/20,14,2,8,0,0,0
01/05/20,14,0,8,0,0,0
02/05/20,14,0,10,2,0,0
03/05/20,14,0,10,0,0,0
04/05/20,14,0,12,2,0,0
05/05/20,14,0,12,0,0,0
06/05/20,14,0,12,0,0,0
07/05/20,14,0,12,0,0,0
08/05/20,15,1,13,1,0,0
09/05/20,15,0,13,0,0,0
10/05/20,15,0,13,0,0,0
11/05/20,16,1,13,0,0,0
12/05/20,16,0,13,0,0,0
13/05/20,16,0,14,1,0,0
14/05/20,17,1,14,0,0,0
15/05/20,19,2,14,0,0,0
16/05/20,19,0,14,0,0,0
17/05/20,19,0,14,0,0,0
18/05/20,23,4,14,0,0,0
19/05/20,29,6,17,3,0,0
20/05/20,30,1,17,0,0,0
21/05/20,35,5,17,0,0,0
22/05/20,35,0,17,0,0,0
23/05/20,35,0,17,0,0,0
24/05/20,35,0,17,0,0,0
25/05/20,38,3,25,8,0,0
26/05/20,43,5,28,3,0,0
27/05/20,47,4,29,1,0,0
28/05/20,52,5,29,0,0,0
29/05/20,61,9,34,5,0,0
30/05/20,61,0,34,0,0,0
31/05/20,64,3,40,6,0,0
01/06/20,66,2,40,0,0,0
02/06/20,72,6,48,8,0,0
03/06/20,81,9,48,0,0,0
04/06/20,91,10,48,0,0,0
05/06/20,102,11,50,2,0,0
06/06/20,108,6,54,4,0,0
07/06/20,113,5,54,0,1,1
08/06/20,124,11,58,4,1,0
09/06/20,136,12,61,3,1,0
10/06/20,166,30,65,4,1,0
11/06/20,180,14,70,5,3,2
12/06/20,197,17,73,3,3,0
13/06/20,201,4,78,5,3,0
14/06/20,201,0,80,2,3,0
15/06/20,219,18,86,6,3,0
16/06/20,250,31,93,7,3,0
17/06/20,261,11,97,4,3,0
18/06/20,277,16,107,10,3,0
19/06/20,300,23,112,5,3,0
20/06/20,304,4,120,8,3,0
21/06/20,304,0,125,5,3,0
22/06/20,317,13,135,10,3,0
23/06/20,345,28,147,12,3,0
24/06/20,375,30,168,21,3,0
25/06/20,384,9,180,12,3,0
26/06/20,398,14,200,20,3,0
27/06/20,418,20,206,6,3,0
28/06/20,419,1,210,4,3,0
29/06/20,445,26,225,15,4,1
30/06/20,499,54,252,27,5,1
01/07/20,517,18,263,11,7,2
02/07/20,542,25,275,12,8,1
03/07/20,569,27,290,15,9,1
04/07/20,580,11,300,10,10,1
05/07/20,581,1,307,7,10,0
06/07/20,612,31,330,23,11,1
07/07/20,628,16,355,25,11,0
08/07/20,644,16,386,31,12,1
09/07/20,685,41,400,14,12,0
10/07/20,704,19,410,10,13,1
11/07/20,727,23,422,12,13,0
12/07/20,729,2,435,13,13,0
13/07/20,779,50,470,35,13,0
14/07/20,795,16,485,15,13,0
15/07/20,830,35,506,21,15,2
16/07/20,839,9,531,25,15,0
17/07/20,860,21,543,12,15,0
18/07/20,861,1,552,9,15,0
19/07/20,864,3,565,13,15,0
20/07/20,907,43,601,36,15,0
21/07/20,930,23,617,16,15,0
22/07/20,943,13,632,15,16,1
23/07/20,963,20,646,14,17,1
24/07/20,1011,48,686,40,17,0
25/07/20,1019,8,717,31,17,0
26/07/20,1045,26,730,13,17,0
27/07/20,1082,37,780,50,18,1
28/07/20,1102,20,788,8,18,0
29/07/20,1159,57,825,37,18,0
30/07/20,1181,22,835,10,18,0
31/07/20,1229,48,850,15,18,0
01/08/20,1246,17,880,30,18,0
02/08/20,1246,0,905,25,18,0
03/08/20,1262,16,915,10,19,1
04/08/20,1314,52,935,20,19,0
05/08/20,1352,38,965,30,19,0
06/08/20,1394,42,986,21,21,2
07/08/20,1447,53,1002,16,21,0
08/08/20,1491,44,1007,5,21,0
09/08/20,1497,6,1023,16,21,0
10/08/20,1529,32,1046,23,22,1
11/08/20,1547,18,1063,17,22,0
12/08/20,1592,45,1095,32,22,0
13/08/20,1628,36,1117,22,23,1
14/08/20,1643,15,1130,13,23,0
15/08/20,1680,37,1152,22,25,2
16/08/20,1680,0,1169,17,25,0
17/08/20,1728,48,1209,40,25,0
